Slot,time,Set1.csv,Set2.csv,Set3.csv,Set4.csv,Set5.csv,Total,Tesse,Socio
66,329.46310409780426,0.8745160928414473,0.7710056546464802,13.494582636765694,3.43791095551264,0.9578453554409856,19.535860695207244,6.041278058441554,2.603367102928913
67,333.6917595148147,0.8771517811112949,0.7723032904722513,13.395886046515178,3.4156407617969404,0.9530158340665302,19.413997713962196,6.018111667447017,2.6024709056500765
68,339.82640543118663,0.8743021680111925,0.7699557708552444,13.293275350139623,3.4219544039321264,0.9553890576740764,19.314876750612264,6.0216014004726395,2.599646996540513
69,343.96183796253223,0.867781909568507,0.7758054109548124,13.21480841568196,3.424260444709003,0.9498358755197944,19.23249205643408,6.017683640752117,2.5934231960431138
70,349.9213638899416,0.8768059206621898,0.7761510319066619,13.13300403637013,3.411283607996473,0.9489761832861348,19.14622078022159,6.013216743851459,2.6019331358549866
71,354.5165286903346,0.886724859726512,0.7799141389727083,13.096456154278524,3.4040032700976903,0.9469040709367472,19.11400249401218,6.017546339733658,2.6135430696359676
72,359.23413296393915,0.8833387900975366,0.7755299240368064,12.98149727305277,3.405588142650683,0.944591228210417,18.990545358048212,6.009048084995443,2.60345994234476
73,363.3408923780138,0.8774821926505747,0.7721004014615089,12.878691389738227,3.417107677703779,0.946027169181798,18.891408830735887,6.012717440997661,2.5956097632938815
74,369.8551272395613,0.8772262110147517,0.7747166312118731,12.81937646723585,3.405524379043428,0.9502774211484556,18.82712110965436,6.007744642418508,2.6022202633750804
75,374.424287268417,0.8754118250914837,0.7784546459544568,12.76578735517893,3.434002971424395,0.9507677621436208,18.804424559792885,6.0386372046139565,2.6046342331895613
76,379.7076725045089,0.8710921727160906,0.7749634626783027,12.725393681895966,3.455515951866984,0.9495415627966144,18.77650683195396,6.051113150057992,2.5955971981910078
77,384.526507119527,0.8698329219744861,0.775350751864874,12.640589249100817,3.4536590495974164,0.9520746990374496,18.691506671575045,6.050917422474226,2.5972583728768095
78,389.5392816405004,0.8708620573654166,0.7760537269155304,12.605473758685717,3.442592583578667,0.9517062370859042,18.646688363631235,6.041214604945519,2.598622021366851
79,394.9698883859829,0.8638326174121853,0.7770837087252433,12.528658973042605,3.430020546871121,0.95047416500299,18.550070011054146,6.021411038011539,2.5913904911404186
80,399.8224336455423,0.8651098922481606,0.7816093803373708,12.540218179101313,3.4280693106208946,0.9512457744324476,18.566252536740187,6.026034357638874,2.597965047017979
81,404.3566187660186,0.8640007272222083,0.7784906236286746,12.489854829862786,3.4267291178123327,0.9527002780934024,18.511775576619403,6.021920746756618,2.5951916289442853
82,410.0935719594728,0.8664299064332299,0.7765046736135692,12.436863509342592,3.441556858653122,0.952700495461098,18.474055443503612,6.03719193416102,2.5956350755078974
83,414.5347343637326,0.8727560116928663,0.7801638028991287,12.429011352441124,3.425033786871082,0.9529091931149264,18.45987414701913,6.030862794578004,2.6058290077069213
84,419.99890323728863,0.8686543862047135,0.7800077304826533,12.365117317403952,3.434034296168623,0.9502314149542656,18.39804514521421,6.032927827810255,2.5988935316416324
85,433.7640199812981,0.8686543862047135,0.7800077304826533,12.202914159107324,3.4173164896365944,0.95355010472792,18.222442870159206,6.019528711051882,2.6022122214152867
1,0.0,0.5535602074570188,0.6115066579596635,0.0,0.0,0.0,1.1650668654166823,1.1650668654166823,1.1650668654166823
2,9.70449677389634,0.5604954921052172,0.8796944658237253,14.119623859053789,4.158150001119188,3.185534992015413,22.903498810117334,8.783874951063543,4.625724949944356
3,14.109860972040543,0.6200772071570645,0.8177208722374631,9.384479756503326,3.6571976770845778,1.2183694334466637,15.697844946429097,6.3133651899257694,2.6561675128411917
4,19.522180982351458,0.6865143388983899,0.8187277068754863,11.854083058200418,3.39216253189997,0.8964796699393999,17.647967305813662,5.793884247613247,2.401721715713276
5,24.664616956914045,0.7508850627526831,0.8953934129232494,10.208424189863956,3.1844234839739327,0.8735559389049651,15.912682088418789,5.70425789855483,2.5198344145808975
6,29.68249935059035,0.722714961488567,0.8459897204226974,9.684731719747912,3.25883096326593,0.8519728019501389,15.364240166875243,5.679508447127334,2.420677483861403
7,35.08115927415894,0.7080277712039932,0.8372953148455057,8.930662580125018,3.268309672571066,0.8127452570877799,14.557040595833362,5.626378015708345,2.358068343137279
8,40.033048062171325,0.7238800634336789,0.8193366580223956,8.215339003521208,3.35262386386366,0.8549120317752106,13.966091620616155,5.750752617094945,2.398128753231285
9,44.24562279237803,0.7805549530087884,0.8243200648579977,8.032139923192904,3.341200901499178,0.793696935429426,13.771912777988293,5.73977285479539,2.398571953296212
10,48.20049094972642,0.7643892424873067,0.7893042837195453,8.107959602799149,3.3856018075591976,0.8005446161295144,13.847799552694712,5.739839949895563,2.3542381423363663
11,54.909587071649625,0.7389898820277674,0.8032688565602558,7.830749841207965,3.257477284202375,0.8157677133456763,13.44625357734404,5.615503736136074,2.3580264519336995
12,58.88815060406176,0.7185385924200126,0.7848474303418522,8.067742445317608,3.3622448877812205,0.8213190519555309,13.754692407816222,5.686949962498616,2.3247050747173956
13,64.73350946830783,0.7156882242630656,0.800516908422165,7.450956100350426,3.4452925474261287,0.8187962438518082,13.231250024313594,5.780293923963167,2.335001376537039
